aalib 1.4rc5-12
accountsservice 0.6.50-1
acl 2.2.53-1
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-2
alsa-utils 1.1.6-1
aom 1.0.0-1
apache 2.4.34-1
appstream-glib 0.7.10-1
apr 1.6.3-1
apr-util 1.6.1-3
archlinux-appstream-data 20180821-1
archlinux-keyring 20180808-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.48-1
augeas 1.10.1-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+16+g1cc2b8e-2
awesome-terminal-fonts 1.1.0-1
babl 0.1.56-1
baobab 3.28.0-1
bash 4.4.023-1
bc 1.07.1-1
binutils 2.31.1-3
bison 3.0.5-1
blas 3.8.0-2
blueman 2.0.6-1
bluez 5.50-3
bluez-libs 5.50-3
bluez-utils 5.50-3
boost-libs 1.67.0-7
brltty 5.6-4
brotli 1.0.5-2
btrfs-progs 4.17.1-1
bubblewrap 0.3.0-1
bzip2 1.0.6-7
c-ares 1.14.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.39-1
ca-certificates-utils 20180821-1
cairo 1.15.12-1
cairomm 1.12.2-2
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
cdrtools 3.02a09-1
celt 0.11.3-3
celt0.5.1 0.5.1.3-4
ceph-libs 13.2.1-1
cheese 3.28.0-1
chromaprint 1.4.3-2
chromium 69.0.3497.81-1
cifs-utils 6.8-2
clutter 1.26.2-1
clutter-gst 3.0.26-1
clutter-gtk 1.8.4-1
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.3-2
colord-gtk 0.1.26+5+ga9d9c91-1
colord-sane 1.4.3-2
coreutils 8.30-1
cracklib 2.9.6-1
create_ap 0.4.6-1
cryptsetup 2.0.4-1
cups-pk-helper 0.2.6-1
curl 7.61.1-1
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.181-1
dhcpcd 7.0.7-1
diffutils 3.6-1
djvulibre 3.5.27-3
dleyna-connector-dbus 0.3.0-1
dleyna-core 0.6.0-1
dleyna-renderer 0.6.0-1
dleyna-server 0.6.0-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.79-1
dnssec-anchors 20170711-1
dosfstools 4.1-1
dotconf 1.3-5
double-conversion 3.1.0-1
e2fsprogs 1.44.4-1
efibootmgr 16-1
efivar 35-1
egl-wayland 1.1.0-1
eglexternalplatform 1.0+3+g7c8f8e2-1
enchant 2.2.3-1
eog 3.28.3-1
epiphany 3.28.3.1-2
espeak 1:1.48.04-1
evince 3.28.2-1
evolution 3.28.5-1
evolution-data-server 3.28.5-2
exempi 2.4.5-1
exiv2 0.26-2
exo 0.12.2-1
expat 2.2.6-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.0.2-2
fftw 3.3.8-1
file 5.34-1
file-roller 3.28.1-1
filesystem 2018.8-1
findutils 4.6.0-2
firefox 62.0-1
flac 1.3.2-1
flex 2.6.4-1
folks 0.11.4+26+g2c992227-1
fontconfig 2:2.13.0+15+gc60ed9e-1
franz-bin 5.0.0_beta.18-1
freeglut 3.0.0-2
freetype2 2.9.1-1
frei0r-plugins 1.6.1-5
fribidi 1.0.5-1
fuse-common 3.2.5-1
fuse2 2.9.8-1
gamin 0.1.10-9
garcon 0.6.1-1
gavl 1.4.0-3
gawk 4.2.1-1
gc 7.6.6-1
gcab 1.0+2+gc0947f6-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-4
gd 2.2.5-1
gdbm 1.17-1
gdk-pixbuf2 2.36.12-1
gdm 3.28.4-1
gedit 3.28.1-2
gegl 0.4.8-1
geoclue2 2.4.12-1
geocode-glib 3.26.0-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghostscript 9.24-6
giflib 5.1.4-1
git 2.18.0-1
gjs 1:1.52.3-1
glew 2.1.0-1
glib-networking 2.56.1-1
glib2 2.58.0-1
glibc 2.28-4
glibmm 2.56.0-1
glu 9.0.0-5
glusterfs 1:4.1.2-2
gmime3 3.2.0-1
gmp 6.1.2-1
gnome-autoar 0.2.3-1
gnome-backgrounds 3.28.0-1
gnome-bluetooth 3.28.2-1
gnome-boxes 3.28.5+7+g0c8a57d5-1
gnome-calculator 3.28.2-1
gnome-calendar 3.28.2-1
gnome-characters 3.28.2-1
gnome-clocks 3.28.0+1+gecbbce8-1
gnome-color-manager 3.28.0-1
gnome-contacts 3.28.2-1
gnome-control-center 3.28.2-1
gnome-desktop 1:3.28.2-1
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.28.2-1
gnome-documents 3.28.2-1
gnome-font-viewer 3.28.0-1
gnome-getting-started-docs 3.28.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.28.2-1
gnome-logs 3.28.5-1
gnome-maps 3.28.2-1
gnome-menus 3.13.3+30+g510ef1c-1
gnome-music 1:3.28.2.1-2
gnome-online-accounts 3.28.0-1
gnome-online-miners 3.26.0-1
gnome-photos 3.28.0-3
gnome-screenshot 3.26.0-1
gnome-session 3.28.1-1
gnome-settings-daemon 3.28.1-1
gnome-shell 3.28.3+7+g721ce5403-1
gnome-shell-extensions 3.28.1-1
gnome-software 3.28.2-1
gnome-system-monitor 3.28.2-1
gnome-terminal 3.28.2-1
gnome-themes-extra 3.28-1
gnome-todo 3.28.1-1
gnome-user-docs 3.28.2-1
gnome-user-share 3.28.0-1
gnome-video-effects 0.4.3+13+g6867955-1
gnupg 2.2.10-1
gnutls 3.5.19-1
go 2:1.11-1
gobject-introspection-runtime 1.56.1-2
gom 0.3.3-2
google-chrome 69.0.3497.81-1
gperftools 2.7-1
gpgme 1.11.1-2
gpm 1.20.7-8
gptfdisk 1.0.4-1
graphene 1.8.2-1
graphite 1:1.3.12-1
grep 3.1-1
grilo 0.3.6-1
grilo-plugins 0.3.7-1
groff 1.22.3-7
grub 2:2.02-7
grub-customizer 5.0.8-2
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gsm 1.0.18-1
gsound 1.0.2-2
gspell 1.8.1-1
gssdp 1.0.2-1
gst-plugins-bad 1.14.2-3
gst-plugins-base 1.14.2-1
gst-plugins-base-libs 1.14.2-1
gst-plugins-good 1.14.2-1
gstreamer 1.14.2-1
gtk-update-icon-cache 3.22.30-1
gtk-vnc 0.9.0-1
gtk-xfce-engine 2.10.1-2
gtk2 2.24.32-1
gtk3 3.22.30-1
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview3 3.24.9-2
gtkspell3 3.0.9-3
guile 2.2.4-1
gupnp 1.0.3-1
gupnp-av 0.12.10-1
gupnp-dlna 0.10.5-2
gvfs 1.36.2-3
gvfs-afc 1.36.2-3
gvfs-goa 1.36.2-3
gvfs-google 1.36.2-3
gvfs-gphoto2 1.36.2-3
gvfs-mtp 1.36.2-3
gvfs-nfs 1.36.2-3
gvfs-smb 1.36.2-3
gzip 1.9-1
harfbuzz 1.8.8-1
harfbuzz-icu 1.8.8-1
hicolor-icon-theme 0.17-1
hostapd 2.6-7
hspell 1.4-1
htop 2.2.0-2
http-parser 2.8.1-1
hunspell 1.6.2-1
hunspell-en_US 2018.04.16-5
hwids 20180518-1
hyphen 2.8.8-2
i3lock 2.10-1
iana-etc 20180221-1
icu 62.1-1
ijs 0.35-1
ilmbase 2.3.0-1
imlib2 1.5.1-1
inetutils 1.9.4-5
intel-tbb 2018_20180618-1
intel-ucode 20180807.a-1
iproute2 4.18.0-1
iptables 1.6.2-2
iputils 20180629.f6aac8d-2
iso-codes 3.79-1
iw 4.14-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.14-1
jemalloc 1:5.1.0-1
jetbrains-toolbox 1.11.4269-1
jfsutils 1.1.15-5
jre8-openjdk 8.u181-1
jre8-openjdk-headless 8.u181-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.2-2
kbd 2.0.4-1
keyutils 1.5.11-1
kmod 25-1
krb5 1.16.1-1
